ID_Bloque;Orden;Seccion;Titulo;Texto_Base;Tipo_Bloque;Variables;Condicion;Fuente_Datos;Mostrar;Observacion_Interna
CFG_001;1;CONFIGURACION;PLANTILLA_VERSION;notificacion_anteproyecto_formato_oficial_v2;CONFIG;;;CSV;SI;"V2: Asunto separado del Informe; eGOB principal único; PUGS precargado desde Código PIT."
CFG_002;2;CONFIGURACION;RESOLUCION_DELEGACION;GADMR-DG-PHDU-2026-0004-R;CONFIG;;;CSV;SI;Resolución de delegación citada por el formato.
CFG_003;3;CONFIGURACION;FECHA_DELEGACION;09 de junio de 2026;CONFIG;;;CSV;SI;Fecha de la resolución de delegación.
CFG_004;4;CONFIGURACION;EGOB_DELEGACION;1183843;CONFIG;;;CSV;SI;Trámite eGOB de la delegación.
CFG_005;5;CONFIGURACION;DIRECTOR_DELEGACION;Mgs. Juan Diego Remache Rivera;CONFIG;;;CSV;SI;Autoridad que suscribe la delegación.
CFG_006;6;CONFIGURACION;JEFA_DELEGADA;Arq. María Alejandra Bonifaz López;CONFIG;;;CSV;SI;Jefa delegada según el formato.
ANT_001;10;ASUNTO;ASUNTO;[B]ASUNTO:[/B] Notificación de Aprobación de Anteproyecto de Edificación – Trámite E-Gob Nro. {{EGOB_INFORME}};DINAMICO;EGOB_INFORME;;Informe Técnico Aprobatorio / Supabase: eGOB principal;SI;Se muestra y copia en una sección independiente. No forma parte del cuerpo ni de la impresión del Informe.
ANT_002;20;CUERPO;CONSIDERACION;De mi consideración:;FIJO;;;;SI;
ANT_003;30;CUERPO;SALUDO;Reciba un cordial saludo.;FIJO;;;;SI;
ANT_004;40;CUERPO;ANTECEDENTE;La Jefatura de Habilitación del Suelo y Edificación, en atención al trámite E-Gob Nro. {{EGOB_INFORME}}, una vez conocido el Informe Técnico Aprobatorio de Anteproyecto Nro. {{NUMERO_INFORME_APROBATORIO}}, suscrito por {{TECNICO_INFORME}}, {{CARGO_TECNICO_INFORME}}, remitido mediante Memorando Nro. {{NUMERO_MEMORANDO_REMISION}}, de fecha {{FECHA_MEMORANDO_REMISION_LARGA}}, el cual en su parte pertinente concluye:;DINAMICO;EGOB_INFORME|NUMERO_INFORME_APROBATORIO|TECNICO_INFORME|CARGO_TECNICO_INFORME|NUMERO_MEMORANDO_REMISION|FECHA_MEMORANDO_REMISION_LARGA;;Informe Supabase + JEFATURA;SI;Usa exclusivamente el eGOB principal del Informe. Se eliminó el fragmento Trámites Nro.
ANT_005;50;CONCLUSION;INTRO_CONCLUSION;[I]“(...) En concordancia a lo dispuesto en la ORDENANZA MUNICIPAL No. 016-2023 DE ACTUALIZACIÓN DEL CÓDIGO URBANO, publicada en el Registro Oficial Edición Especial Nº 885 del martes 23 de mayo de 2023, Artículo 84, Contenido de la Propuesta Técnica de Anteproyectos de Edificación, se concluye emitir el presente informe técnico [B]FAVORABLE[/B], de conformidad al siguiente detalle:[/I];FIJO;;;;SI;
ANT_006;60;CONCLUSION;TABLA_CONCLUSION;{{TABLA_CONCLUSION_TECNICA}};TABLA_CONCLUSION_TECNICA;TABLA_CONCLUSION_TECNICA;;Informe aprobado: conclusion_tecnica;SI;Se renderiza como tabla de cuatro columnas, conservando niveles cuando existan.
ANT_007;70;CONCLUSION;AREA_TASA;[I][B]El ANTEPROYECTO[/B], tiene un [B]área a construir de {{AREA_CONSTRUCCION}} m² valor a tomar en cuenta para efecto del cálculo para el pago de la tasa administrativa[/B].[/I];DINAMICO;AREA_CONSTRUCCION;;Informe aprobado: area_construccion;SI;
ANT_008;80;CONCLUSION;SOLICITUD_PROYECTO_DEFINITIVO;[I]Por lo expuesto se establece que el trámite es [B]FAVORABLE[/B] y se [BU]SOLICITA QUE PARA LA APROBACIÓN DEL PROYECTO DEFINITIVO[/BU] se adjunte los requisitos establecidos en la Ordenanza 016-2023 de la Actualización del Código Urbano, Artículo 94.[/I];FIJO;;;;SI;
ANT_009;90;CONCLUSION;NOTA_CONCLUSION;[I]Nota. - La información y datos que están en el proyecto son de exclusiva responsabilidad del proyectista y propietario, en el caso de existir datos erróneos, ocultos, la aprobación quedará automáticamente insubsistente. (...)”[/I];FIJO;;;;SI;
ANT_010;100;MORFOLOGICO;INFORME_MORFOLOGICO;El expediente cuenta con el INFORME TÉCNICO DE MODIFICACIÓN PERMISIBLE DE ADOSAMIENTOS Y RETIROS Nro. {{MORFOLOGICO_NUMERO}}, de fecha {{MORFOLOGICO_FECHA_LARGA}}, en el cual se establece que, si bien conforme a las regulaciones del PUGS la implantación corresponde a {{MORFOLOGICO_IMPLANTACION_PUGS}}, con retiro frontal de {{MORFOLOGICO_RETIRO_FRONTAL_PUGS}} m y retiro posterior de {{MORFOLOGICO_RETIRO_POSTERIOR_PUGS}} m, considerando la morfología del sector y de las manzanas colindantes, conforme al análisis morfológico presentado por {{MORFOLOGICO_PROFESIONAL}}, se aprueba la propuesta con las siguientes regulaciones:;DINAMICO;MORFOLOGICO_NUMERO|MORFOLOGICO_FECHA_LARGA|MORFOLOGICO_IMPLANTACION_PUGS|MORFOLOGICO_RETIRO_FRONTAL_PUGS|MORFOLOGICO_RETIRO_POSTERIOR_PUGS|MORFOLOGICO_PROFESIONAL;TIENE_ESTUDIO_MORFOLOGICO;Informe + Código PIT + JEFATURA;SI;Implantación y retiros PUGS se precargan desde el Código PIT guardado en el Informe y siguen siendo editables.
ANT_011;110;MORFOLOGICO;RETIRO_FRONTAL;• Retiro frontal: {{MORFOLOGICO_RETIRO_FRONTAL_APROBADO}} m.;DINAMICO;MORFOLOGICO_RETIRO_FRONTAL_APROBADO;TIENE_ESTUDIO_MORFOLOGICO;JEFATURA;SI;
ANT_012;120;MORFOLOGICO;RETIRO_LATERAL;• Retiro lateral: {{MORFOLOGICO_RETIRO_LATERAL_APROBADO}} m.;DINAMICO;MORFOLOGICO_RETIRO_LATERAL_APROBADO;TIENE_ESTUDIO_MORFOLOGICO;JEFATURA;SI;
ANT_013;130;MORFOLOGICO;RETIRO_POSTERIOR;• Retiro posterior: {{MORFOLOGICO_RETIRO_POSTERIOR_APROBADO}} m.;DINAMICO;MORFOLOGICO_RETIRO_POSTERIOR_APROBADO;TIENE_ESTUDIO_MORFOLOGICO;JEFATURA;SI;
ANT_014;140;MORFOLOGICO;AJUSTE_IPRUS;La propuesta arquitectónica deberá ajustarse a estas condiciones y respetar obligatoriamente el COS PB y COS TOTAL establecidos en el IPRUS Nro. {{IPRUS_NUMERO}}.;DINAMICO;IPRUS_NUMERO;TIENE_ESTUDIO_MORFOLOGICO;Informe/JEFATURA;SI;
ANT_015;150;CUERPO;CONTINUIDAD;En este contexto, se remite el contenido del informe técnico aprobatorio para que continúe con el proceso correspondiente para la obtención de la Licencia Urbanística de Obra Mayor, para lo cual deberá presentar los requisitos establecidos en el artículo 94 de la Ordenanza Municipal Nro. 016-2023 de Actualización del Código Urbano y demás normativa aplicable.;FIJO;;;;SI;
ANT_016;160;CUERPO;HABILITANTES;Constituyen documentos habilitantes de la presente aprobación el Informe Predial de Regulación Urbana y Rural de Suelo (IPRUS), Certificado de Gravamen, planos arquitectónicos y demás documentación técnica que sirvió de base para el análisis y aprobación del anteproyecto.;FIJO;;;;SI;
ANT_017;170;CUERPO;VOLADIZOS;Se deja expresa constancia de que los salientes y voladizos deberán sujetarse a las disposiciones técnicas emitidas por la Empresa Eléctrica Riobamba S.A., relacionadas con las distancias mínimas de seguridad. En ningún caso se permitirán voladizos que sobrepasen el treinta por ciento (30%) del ancho de la acera, conforme a lo establecido en el artículo 613 de la Ordenanza Municipal Nro. 016-2023 de Actualización del Código Urbano.;FIJO;;;;SI;
ANT_018;180;CUERPO;VIGENCIA;"[B]VIGENCIA DE LA APROBACIÓN:[/B] Para el caso de anteproyectos, el plazo para que el interesado presente a la administración municipal los estudios de ingeniería aprobados por las dependencias correspondientes [B]será de un (1) año contado a partir de la fecha de notificación; transcurrido este plazo, la aprobación caducará automáticamente.[/B]";FIJO;;;;SI;
ANT_019;190;CUERPO;PRORROGA;"[B]PRÓRROGA:[/B] Los plazos establecidos en las Licencias, Autorizaciones y Aprobaciones Urbanísticas podrán prorrogarse a solicitud presentada por el titular antes del vencimiento de su vigencia; en cualquier caso, la prórroga sólo podrá concederse por una sola vez y por un plazo que no sea superior al 50% del inicialmente otorgado. La prórroga no supondrá modificación alguna de la Licencia, Autorización o Aprobación Urbanística.";FIJO;;;;SI;
ANT_020;200;NOTAS;NOTA_1;[B]NOTA 1:[/B] La aprobación de anteproyectos es el Título jurídico que contiene el acto administrativo que faculta al interesado realizar los estudios de ingeniería respectivos, y ponerlos en consideración de las dependencias competentes. Y cuando se requiera, permite al interesado acceder al aprovechamiento del área por sobre la edificabilidad general máxima establecida en los polígonos normativos del Plan de Uso y Gestión de Suelo (PUGS). [B]Esta aprobación no autoriza intervención alguna en el territorio por parte del administrado.[/B];FIJO;;;;SI;
ANT_021;210;NOTAS;NOTA_2;[B]NOTA 2:[/B] La información técnica, legal y documental presentada para la obtención de la presente aprobación es de exclusiva responsabilidad del propietario y del profesional proyectista. En caso de verificarse información falsa, errónea, incompleta u ocultamiento de datos relevantes, la aprobación quedará automáticamente insubsistente, sin perjuicio de las acciones administrativas y legales a que hubiere lugar.;FIJO;;;;SI;
ANT_022;220;NOTAS;NOTA_3_GENERAL;"[B]NOTA 3:[/B] Se deja constancia de que, en caso de que la edificación se pretenda declarar bajo el Régimen de Propiedad Horizontal, el proyecto deberá cumplir y proyectarse conforme a las disposiciones establecidas en las Normas de Arquitectura y Construcción, específicamente en la sección correspondiente a Propiedad Horizontal, así como con las demás disposiciones técnicas y urbanísticas aplicables.

La aprobación del presente anteproyecto no exime del cumplimiento de dicha normativa, que deberá ser observada y acreditada en la etapa administrativa correspondiente.";FIJO;;NO_RESIDENCIAS_UNIVERSITARIAS;CSV;SI;Nota 3 normal.
ANT_023;230;NOTAS;NOTA_3_RESIDENCIAS;[B]NOTA 3:[/B] Téngase en cuenta que, de conformidad con lo establecido en el artículo 586 de la Ordenanza Nro. 016-2023, las edificaciones aprobadas y construidas bajo el uso de Residencias Universitarias no podrán ser declaradas en Propiedad Horizontal mientras mantengan dicho uso.;FIJO;;RESIDENCIAS_UNIVERSITARIAS;CSV;SI;Bloque morado: reemplaza íntegramente la Nota 3 cuando el uso principal incluye RESIDENCIAS UNIVERSITARIAS.
ANT_024;240;NOTAS;NOTA_4;[B]NOTA 4:[/B] Mediante Resolución Nro. {{RESOLUCION_DELEGACION}}, de fecha {{FECHA_DELEGACION}}, correspondiente al trámite E-Gob Nro. {{EGOB_DELEGACION}}, suscrita por el {{DIRECTOR_DELEGACION}}, Director General de Gestión de Planificación, Hábitat y Desarrollo Urbanístico, se delegó a la {{JEFA_DELEGADA}}, Jefe de Habilitación de Suelo y Edificación, las atribuciones y competencias para la emisión de Autorizaciones de Obra Menor y Aprobaciones de Anteproyectos de Edificación de Obra Mayor.;DINAMICO_CONFIG;RESOLUCION_DELEGACION|FECHA_DELEGACION|EGOB_DELEGACION|DIRECTOR_DELEGACION|JEFA_DELEGADA;;CFG_002|CFG_003|CFG_004|CFG_005|CFG_006;SI;
ANT_025;250;CIERRE;ANEXO;Anexo: {{ANEXO_TEXTO}};DINAMICO;ANEXO_TEXTO;;JEFATURA;SI;Se deja editable porque cambia por expediente.
ANT_026;260;CIERRE;PARTICULAR;Particular que comunico para los fines consiguientes.;FIJO;;;;SI;
