ID_Bloque;Orden;Pagina_Referencia;Seccion;Titulo;Texto_Base;Tipo_Bloque;Variables;Fuente_Datos;Mostrar;Observacion_Interna
CFG_001;1;;CONFIGURACION;DIRECTOR_NOMBRE;ING. JUAN DIEGO REMACHE RIVERA MGS.;CONFIG;;CSV;SI;Dato institucional. Cambiar aquí si cambia la autoridad.
CFG_002;2;;CONFIGURACION;DIRECTOR_CARGO;DIRECTOR GENERAL DE GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO;CONFIG;;CSV;SI;Cargo que se reutiliza en encabezado, vistos y firma.
CFG_003;3;;CONFIGURACION;ACCION_PERSONAL_DIRECTOR;DG-TH-2026 -LRN-2;CONFIG;;CSV;SI;Acción de personal de la autoridad.
CFG_004;4;;CONFIGURACION;FECHA_ACCION_PERSONAL_DIRECTOR;08 de enero de 2026;CONFIG;;CSV;SI;Fecha en texto largo tal como debe mostrarse en la resolución.
CFG_005;5;;CONFIGURACION;REGISTRADOR_PROPIEDAD;ABG. HENRY ENDARA MAZÓN;CONFIG;;CSV;SI;Registrador fijo definido para la plantilla actual del proyecto ALLPA.
CFG_006;6;;CONFIGURACION;MEMORANDO_CRITERIO_JURIDICO;GADMR-PROC-2026-0038-M;CONFIG;;CSV;SI;Memorando institucional usado como criterio jurídico base.
CFG_007;7;;CONFIGURACION;TEXTO_CRITERIO_JURIDICO;(…) Deberá la Dirección General de Gestión de Planificación, Habitat y Desarrollo Urbanístico, asumir todas las actividades, atribuciones y deberes y obligaciones que estaba a cargo de la Dirección General de Ordenamiento Territorial y aquellas que le sean similares que constan dentro de las ordenanza, hasta que las mismas sean reformadas o sustituidas, esto en cumplimiento de todos los artículos antes citados y tomando en consideración que el servicio público no puede paralizarse. (…);CONFIG;;CSV;SI;Texto editable sin tocar la programación.
CFG_008;8;;CONFIGURACION;SIGLA_RESOLUCION;GADMR-GPHDU-OM;CONFIG;;CSV;SI;Sufijo usado para la numeración de Licencia de Obra Mayor.
CFG_009;9;;CONFIGURACION;PLANTILLA_VERSION;resolucion_obra_mayor_formato_oficial_v1;CONFIG;;CSV;SI;Versión de plantilla basada en FORMATO OBRA MAYOR(1).docx y validada contra resolución firmada 183-2026.
ENC_000;10;1-5;ENCABEZADO;TRAMITE;TRÁMITE E-GOB {{EGOB}};DINAMICO;EGOB;Informe Técnico Aprobatorio / Supabase: egob;SI;Texto de identificación que puede repetirse en cada página.
ENC_001;11;1;ENCABEZADO;TITULO;RESOLUCIÓN ADMINISTRATIVA;FIJO;;CSV;SI;
ENC_002;12;1;ENCABEZADO;LICENCIA;LICENCIA DE OBRA MAYOR No. {{NUMERO_RESOLUCION}};DINAMICO;NUMERO_RESOLUCION;phdu_resoluciones.numero_formateado;SI;Número asignado exclusivamente por Supabase al finalizar. No existe ingreso manual.
ENC_003;13;1;ENCABEZADO;DIRECTOR;{{DIRECTOR_NOMBRE}};DINAMICO_CONFIG;DIRECTOR_NOMBRE;CFG_001;SI;
ENC_004;14;1;ENCABEZADO;CARGO_DIRECTOR;{{DIRECTOR_CARGO}};DINAMICO_CONFIG;DIRECTOR_CARGO;CFG_002;SI;
VIS_001;20;1;VISTOS;VISTOS_Y_AVOCO;"DIRECCIÓN DE GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN RIOBAMBA. VISTOS. - En calidad de Director de Gestión de Planificación, Hábitat y Desarrollo Urbanístico, nombrado legalmente mediante Acción de personal No. {{ACCION_PERSONAL_DIRECTOR}}, que rige a partir del {{FECHA_ACCION_PERSONAL_DIRECTOR}}, y de conformidad a la competencia atribuida en el artículo 93,94, 95 y demás que le preceden de la Ordenanza Municipal No. 016-2023 que contiene la Actualización del Código Urbano del cantón Riobamba, es la Dirección de Gestión de Planificación, Hábitat y Desarrollo Urbanístico el órgano competente para dictar el presente acto administrativo.- AVOCO CONOCIMIENTO: De la solicitud No. {{EGOB}} ingresada al Gobierno Autónomo Descentralizado Municipal del cantón Riobamba con fecha {{FECHA_INGRESO_TRAMITE_LARGA}}, a través de la cual, {{PROYECTISTA_NOMBRE}}, en su calidad de proyectista a cargo, ingresa la documentación atinente a Licencia Urbanística de Obra Mayor, a favor de {{TRATAMIENTO_PROPIETARIO}} {{PROPIETARIOS_CON_DOCUMENTO}}; previo a resolver SE CONSIDERA:";DINAMICO;ACCION_PERSONAL_DIRECTOR|FECHA_ACCION_PERSONAL_DIRECTOR|EGOB|FECHA_INGRESO_TRAMITE_LARGA|PROYECTISTA_NOMBRE|TRATAMIENTO_PROPIETARIO|PROPIETARIOS_CON_DOCUMENTO;CFG_003|CFG_004|Informe aprobado: egob, fecha_ingreso_tramite, proyectista, propietarios;SI;Texto fijo tomado del formato Word. Para varios propietarios, ALLPA genera automáticamente nombre + documento de cada uno.
CON_001;30;1;CONSIDERANDOS;CONSTITUCION_ART_30;"Que, el artículo 30 de la Constitución de la República señala que “las personas tienen derecho a un hábitat seguro y saludable, y a una vivienda adecuada y digna, con independencia de su situación social y económica”. (Énfasis añadido);";FIJO;;CSV;SI;
CON_002;31;1;CONSIDERANDOS;CONSTITUCION_ART_31;"Que, el artículo 31 de la Constitución de la República dispone: “Las personas tienen derecho al disfrute pleno de la ciudad y de sus espacios públicos, bajo los principios de sustentabilidad, justicia social, respeto a las diferentes culturas urbanas y equilibrio entre lo urbano y lo rural. El ejercicio del derecho a la ciudad se basa en la gestión democrática de ésta, en la función social y ambiental de la propiedad y de la ciudad, y en el ejercicio pleno de la ciudadanía.”;";FIJO;;CSV;SI;
